epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.854455675397601,6.660735,1.4499999996948243,4.846
1,6.506552083151681,5.4922075,6.520000021972656,17.657999963378906
2,6.108890192849295,4.76048,12.178000030517579,29.737999997558592
3,5.748230389186314,4.101595625,20.206000020751954,42.75000003173828
4,5.465497425624302,3.804200625,24.150000041503905,48.13400004882813
5,5.279784440994263,3.439696875,31.894000089111326,57.644000148925784
6,5.115985666002546,2.9941559375,37.22000000732422,63.853999956054686
7,4.965131861822946,2.84891,40.72000001586914,67.46600013671875
8,4.7716851575034,2.6797659375,43.81800000488281,70.45000005126953
9,4.7352073192596436,2.50533625,46.68800022949219,72.8080000805664
10,4.592200790132795,2.523069375,47.63000000488281,73.51000003417968
11,4.503742831093924,2.370175,51.30799998046875,76.54200005371094
12,4.46745422908238,2.23595,53.57600006347656,78.54000004638672
13,4.398764099393572,2.15542,55.06600009033203,79.71800010009765
14,4.361065796443394,2.13638,56.25200010498047,80.73799991455078
15,4.218623706272671,2.0210234375,57.062000100097656,80.98199990722657
16,4.185395342963083,1.8874346875,58.90600004394531,82.65000013916016
17,4.071653025490897,2.012515,59.08399997314453,82.47800006347656
18,4.135182499885559,1.9568940625,59.447999921875,82.8959999609375
19,4.034996901239667,1.839916875,60.21599996826172,83.4720000390625
20,4.133749093328204,1.89990375,60.08399997314453,83.53800006347656
21,3.9543027026312694,1.9279028125,60.52600001708984,83.68999995605469
22,4.057881167956761,1.7997684375,61.91600006591797,84.67200008300782
23,3.944986803191049,1.824965,61.255999912109374,84.05400016113282
24,3.9817725590297153,1.7970140625,63.09200009277344,85.42800003417969
25,4.0225871460778375,1.78527375,63.7420001171875,85.74600005859375
26,3.933719515800476,1.853024375,63.6519999609375,85.94400003173828
27,3.966291700090681,1.7264025,63.774000004882815,85.90200012939454
28,3.9609866653169905,1.8000046875,63.884000053710935,86.05600002929687
29,3.913296716553824,1.7141821875,64.47400011474609,86.27200002929688
30,3.9134622641972134,1.722088125,64.98200011230469,86.60200005126953
31,3.7631318398884366,1.716215,65.10200010986328,86.75599997558594
32,3.855477281979152,1.687231875,65.49200000488281,87.09600010498046
33,3.826785155705043,1.77705625,65.46600008544922,87.0520000024414
34,3.91671085357666,1.6536153125,65.48999998779297,86.9420000805664
35,3.9356066840035573,1.6385078125,66.62400008789062,87.54000000488281
36,3.8145570244107927,1.6589071875,66.30999994628907,87.43400012695312
37,3.9261896269662038,1.7153971875,66.10000005126953,87.37200007568359
38,3.8687317030770436,1.67408625,66.58600005615234,87.66200018066407
39,3.8901655163083757,1.66307,66.6960000805664,87.9739999975586
40,3.8918734107698714,1.663145625,66.46199990722656,87.43199992919922
41,3.815753493990217,1.5721025,66.80599995361328,87.93600002441406
42,3.7098350865500316,1.64270875,66.78199997314454,87.96400005371093
43,3.7375539370945523,1.686989375,66.89399995117188,87.89999997314453
44,3.78539548601423,1.665419375,65.99199998535157,87.41600018310547
45,3.8070482185908725,1.59990125,67.61799995117188,88.27200004882812
46,3.663602726800101,1.61683875,67.59199995361328,88.28200018066406
47,3.7398517642702376,1.626305625,67.236,88.05199997070312
48,3.6900742735181535,1.55247015625,67.694000078125,88.59200002197265
49,3.7221605437142506,1.6793221875,67.44799994140625,88.14800004882812
50,3.7915913547788347,1.644560625,67.80400011230469,88.45400005371094
51,3.824076635496957,1.61191625,67.85599996826171,88.55600009765625
52,3.798985038484846,1.57012375,68.13800003173829,88.75399995117188
53,3.7309842109680176,1.60340375,67.89800010253906,88.55999995117187
54,3.7725643260138377,1.5425496875,68.18400005615234,88.7280000024414
55,3.6847185577665056,1.559625625,68.79599999511719,88.9659999975586
56,3.641005737440927,1.5783509375,68.668000078125,89.07799999755859
57,3.6861536843436107,1.5867121875,68.24600003417969,88.70600010498048
58,3.6035545553479875,1.5437496875,68.32799997802735,88.89599994873046
59,3.7039818252835954,1.5960296875,69.36000010009765,89.59799997314452
60,3.678419624056135,1.541445625,69.23599991699218,89.46200012207031
61,3.670103975704738,1.5668425,68.76999991943359,89.14400007324218
62,3.6588926826204573,1.532451875,68.85800004638672,88.91400022705078
63,3.6784934997558594,1.561919375,69.68600007080079,89.53400004638672
64,3.7146500859941756,1.550405,69.52799994384766,89.56600002197266
65,3.6976945059640065,1.5181328125,69.75600006835937,89.73200017578125
66,3.642313139779227,1.666839375,68.38800003417968,88.67800015625
67,3.6107499258858815,1.533281875,69.49199997314453,89.54799997070313
68,3.6391914742333547,1.5599515625,69.48999997070312,89.57600002685547
69,3.6603501183646068,1.596974375,69.71600009765625,89.50600001953126
70,3.6212326969419206,1.5117975,70.21799997070312,89.80000007080078
71,3.5368136848722185,1.45138625,70.1739999975586,89.84399994873047
72,3.7041747740336826,1.5580721875,69.54400007324219,89.55200015136718
73,3.740297589983259,1.4999565625,69.83800002441406,89.61199994873047
74,3.70726546219417,1.449140625,70.23400005615234,90.02199997070312
75,3.6974569048200334,1.5388896875,69.916000078125,89.74200012451172
76,3.6225659676960538,1.47101625,70.60200011962891,90.11800007324219
77,3.678617545536586,1.5128028125,70.5720000390625,90.05999999023437
78,3.6726410559245517,1.51252875,70.55999994628907,90.0200000756836
79,3.5442545413970947,1.450081875,70.41600002197265,89.96600002197266
80,3.658413427216666,1.49023171875,69.91600002441406,89.74999994384766
81,3.619563102722168,1.562151875,70.39599989746094,90.17999994384766
82,3.6540996176855907,1.597034375,70.29000004882812,89.92400007080079
83,3.561811481203352,1.433809375,70.59599986816406,90.15999996826172
84,3.6274883917399814,1.4925228125,69.96400000244141,89.88600004638671
85,3.6172527415411815,1.4612884375,70.50799997070312,90.0759999975586
86,3.540676082883562,1.42359546875,71.06799993896485,90.41000004394532
87,3.493901797703334,1.41302,70.94200006835938,90.41400001953124
88,3.5427204370498657,1.38173921875,70.62200004882813,90.13199997070312
89,3.5594437633241927,1.46069109375,69.96400010009765,89.70400020263672
90,3.420756152697972,1.41154953125,71.21800002197266,90.54400004394532
91,3.5862312827791487,1.4468128125,71.19599994628906,90.70600004638672
92,3.605429462024144,1.4479621875,70.99800009521485,90.47399996826172
93,3.585608584540231,1.45881234375,71.54400017578125,90.72999996826172
94,3.6257517678397044,1.4147759375,71.10400006835937,90.52200001708984
95,3.5083490950720653,1.4201453125,71.44399997070313,90.51400002441406
96,3.4710460560662404,1.4524046875,71.50400006591796,90.81000001953124
97,3.48205520425524,1.45899875,71.47600001953126,90.71400012207032
98,3.581604140145438,1.485851875,71.37000017578124,90.54800017333984
99,3.480726787022182,1.372561875,71.46200002441407,90.67600001953124
100,3.5900705882481168,1.389363125,71.93400001953125,90.85800004638672
101,3.6055988073349,1.4201784375,71.82800001953125,90.84400009521484
102,3.4837688207626343,1.439308125,71.33999993652344,90.57200009765624
103,3.4755424431392123,1.398853125,71.62000006835937,90.6300001196289
104,3.602984666824341,1.489620625,71.45599998535157,90.63800009277344
105,3.479207788194929,1.4263859375,71.91399996582031,90.93600010009766
106,3.4238819735390797,1.3852203125,71.77000009765625,90.85799999267579
107,3.484963059425354,1.4219125,72.16199994140625,91.07199996826172
108,3.588551095553807,1.51139375,71.51400001708984,90.67199991699219
109,3.4820865052086964,1.3737634375,72.05399994628907,91.15200006835937
110,3.5241658176694597,1.346763125,72.32600009033203,91.21199993896484
111,3.550153817449297,1.37494390625,71.80400009521485,90.91600001708984
112,3.5234781163079396,1.4004553125,72.19399999023437,91.12199994140624
113,3.589806386402675,1.39274765625,71.67399997558594,90.86999989013673
