epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.7123017654969142,6.9863325,0.076,0.460000000743866
1,0.42220194981648373,6.98246625,0.1,0.5
2,0.09240015395558797,6.9446475,0.1,0.5
3,0.00979299327501884,6.8424075,0.46799999923706054,1.9440000201416017
4,0.007815431606454344,6.54557875,1.4260000100708008,5.576000017700196
5,0.007635061145545199,6.0906225,3.8220000244140624,11.654000028076172
6,0.0074722078772118455,5.7401,5.948000005493164,16.756000025634766
7,0.00735588176534153,5.43838375,8.350000004272461,21.889999962158203
8,0.007249756035609887,5.14006375,11.1720000390625,26.731999990234375
9,0.0071273061733406326,4.87736125,13.664000001220703,31.605999974365233
10,0.007091089169709728,4.6105425,16.63200001953125,35.90799999511719
11,0.006986618203182633,4.32958875,19.866000008544923,40.697999912109374
12,0.006872888529100097,4.117110625,22.587999979248046,44.86600014160156
13,0.00670143415649923,3.862715,25.832000031738282,48.872000053710934
14,0.006670793393053687,3.6514,28.94199998779297,52.76199997070312
15,0.006575438713368315,3.4371325,32.097999991455076,56.597999936523436
16,0.006434436941232819,3.28849125,34.61600004760742,59.106000041503904
17,0.00641698010552388,3.1327984375,36.97999999267578,61.57200008544922
18,0.006230903699850807,2.965245,39.293999990234376,64.06000000488281
19,0.006266193697229028,2.8798709375,40.92999998046875,65.64400004882812
20,0.006152130233553739,2.745956875,42.990000024414066,67.8579999975586
21,0.006054433385053506,2.669618125,44.42399996826172,69.10399995849609
epoch,train_loss,eval_loss,eval_top1,eval_top5
22,0.0059221455325874,2.53738,46.29400002197266,70.92600000976563
23,0.005976828889778027,2.4888125,47.27199999267578,72.12000016601563
24,0.005857837780450399,2.3984603125,48.555999990234376,73.2920000341797
25,0.005872492499362964,2.358295,49.21800010986328,73.996
26,0.005730229268710201,2.2677784375,50.86400017578125,75.35199999267579
27,0.005643180607316585,2.211814375,51.729999978027344,76.18800004882813
28,0.005680325118681559,2.1424159375,52.48599995117188,76.95600004882813
29,0.0055866855769776385,2.18513125,52.686,77.02599998779297
30,0.00558577820013922,2.1035528125,53.54799994140625,77.8560001196289
31,0.005484149003258118,2.071909375,54.30400012451172,78.23999993896484
32,0.005595702964525957,2.003898125,55.218000048828124,79.4340000390625
33,0.005564473533573059,1.959684375,55.807999926757816,79.66400011962891
34,0.00553042721003294,1.9917490625,55.85799997314453,80.0979999658203
