epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.924643479860746,6.8379025,0.5000000028991699,1.7680000079345704
1,6.711745023727417,6.11783375,3.5180000048828126,10.915999996948242
2,6.463422041672927,5.6337075,6.729999995117187,18.39599997192383
3,6.2856137202336235,5.2865425,9.419999990234375,24.16999999267578
4,6.192996208484356,4.95258,12.588,29.698000026855468
5,6.102619061103234,4.63507875,15.962000003662109,35.4920000390625
6,5.932890268472525,4.28549125,20.39000000488281,41.64600010253906
7,5.8301989665398235,3.9083525,25.455999978027343,48.72399998291016
8,5.62969629581158,3.58545125,30.007999998779297,54.181999970703124
9,5.499346366295447,3.339505625,33.704000002441404,58.6519999609375
10,5.437645783791175,3.1242315625,36.89600003295899,61.912
11,5.232232368909395,2.93465875,39.74400004150391,65.34600010253907
12,5.166574423129742,2.78539875,42.483999951171874,67.70000011962891
13,5.009962063569289,2.6696534375,44.185999975585936,69.53999998779297
14,4.953186933810894,2.584001875,46.15000005126953,71.14999996582031
15,4.886612617052519,2.4753225,47.69599999267578,73.10400005859375
16,4.814274274385893,2.397755625,49.272000048828126,74.03200005859375
17,4.831551001622127,2.2936053125,50.81399995605469,75.55599989746094
18,4.845134239930373,2.235345625,51.636000063476565,76.35599997314453
19,4.738369831672082,2.1783478125,53.02999992675781,77.37799989257813
20,4.65783705161168,2.1611553125,53.96000008056641,78.2440000439453
21,4.528623966070322,2.1091790625,54.59399992675781,78.95800001708984
22,4.60931842143719,2.0329125,55.735999897460935,79.67199991699219
23,4.40865251651177,1.9693221875,56.865999997558596,80.5140000390625
24,4.376941598378695,1.9460596875,56.77800010253906,80.37000006347657
25,4.424956349226145,1.9201971875,57.42399993652344,80.94400003662109
26,4.371590797717754,1.8860096875,58.15999994140625,81.74600006591797
27,4.431586091335003,1.89958125,58.65399989257813,81.89200014404297
28,4.289925877864544,1.8865678125,59.15400006835937,82.1860000366211
29,4.407260573827303,1.8402653125,59.5240000415039,82.51999985351563
30,4.210094552773696,1.827821875,60.161999956054686,83.0300000341797
31,4.202453851699829,1.7553384375,60.90999994140625,83.6559999609375
32,4.197422055097727,1.723186875,61.47400006347656,84.12600003173829
33,4.216450993831341,1.7371896875,61.59600009033203,84.37000003173829
34,4.234666521732624,1.7428775,62.170000063476564,84.51600000488281
35,4.08404787687155,1.6561565625,62.74000001464844,85.13000003417969
36,4.102248521951529,1.65307140625,63.10600000976562,85.29199987304688
37,4.279797031329228,1.63357265625,63.557999921875,85.55400002929687
38,4.298434981933007,1.64304796875,63.82199997802734,85.56999997558594
39,3.990229377379784,1.58703875,63.88000003417969,85.87200008056641
40,4.113565903443557,1.598480625,64.27599999023437,86.20399995605469
41,4.0248686992205105,1.5822,64.53599998291016,86.4520000805664
42,4.0983906250733595,1.60241390625,64.16799995605469,86.14200018554688
43,4.122967316554143,1.55668734375,65.3040000341797,86.66199997558594
44,4.008111917055571,1.54641875,65.22000006347656,86.72400005615235
45,3.944533265553988,1.52104921875,65.58200003417969,86.96799995117188
46,4.026151565405039,1.5259825,65.32599998046875,86.99000002929688
47,3.9689778823118944,1.5264990625,65.92600002929687,87.30600002929687
48,3.9712325242849498,1.530505625,65.98800005371093,87.36599999755859
49,3.9142828446168165,1.5054159375,66.28400008789062,87.4900000024414
50,4.005556858502901,1.514590625,66.14799992919922,87.38600015625
51,3.9885755410561194,1.47682015625,66.56800005371093,87.66599989746094
52,3.8498078768069925,1.489199375,66.58,87.71400002685547
53,3.918192643385667,1.4856496875,66.6860000024414,87.698000078125
54,3.853238133283762,1.457468125,67.04400005371093,88.074
55,3.8831906777161818,1.421658125,67.31600004882813,88.40599989257812
56,3.8466704808748684,1.4561378125,67.27200005615235,88.12200000244141
57,3.9017032293172984,1.4263965625,67.36600005126954,88.35200020507813
58,3.863130120130686,1.43039375,67.84200002441406,88.38600010498047
59,3.819415881083562,1.443400625,67.55600000244141,88.47400007324218
60,3.8991988713924703,1.41476546875,68.05599997314454,88.59599994628907
61,3.884376232440655,1.4013034375,68.01800004882813,88.65800004882813
62,3.791675512607281,1.39890140625,68.10000010009766,88.752000078125
63,3.845030977175786,1.4301521875,67.86400002197266,88.5219999194336
64,3.7964508808576145,1.434566875,68.17800004882812,88.73599997070312
65,3.8520440505101132,1.39923296875,68.35,88.87799981445312
66,3.8319370654913096,1.36715109375,68.4840001538086,88.97199994384765
67,3.83109201834752,1.36612171875,68.57600005371094,89.1660000756836
68,3.8047792269633365,1.390096875,68.51600004882812,89.066000078125
69,3.8193524250617394,1.41333,68.444,88.990000078125
70,3.819944922740643,1.35854921875,69.04999996582032,89.30199999511719
71,3.721895795602065,1.344855,69.19599999267578,89.51999994628906
72,3.7731381746438832,1.36000859375,69.11600012939454,89.36200002685547
73,3.740388347552373,1.3753571875,69.13799996582031,89.26999997070313
74,3.697153091430664,1.348075,69.47800006835938,89.57000004638672
75,3.7980879820310154,1.34404734375,69.28800007324219,89.54399993896484
76,3.746237718141996,1.3405184375,69.56399996826173,89.71400002441406
77,3.727474542764517,1.35259765625,69.33199993896484,89.58800007324218
78,3.668693239872272,1.3383375,69.526,89.69000002197265
79,3.750929520680354,1.32565125,69.75399994628906,89.74400001953126
80,3.7632432992641744,1.3607096875,69.53400004394531,89.67399996826173
81,3.683617509328402,1.31259828125,69.75999997558594,89.87200004882813
82,3.718717721792368,1.316325625,69.67200007324219,89.80400004882813
83,3.6215463418226976,1.2940565625,69.97799991699219,90.06599989257812
84,3.6955526058490458,1.3181696875,70.04399996337891,90.00400007568359
85,3.715052687204801,1.29819640625,70.17200001953125,90.00599996826172
86,3.6748694548240075,1.30472453125,70.44600001953125,89.99400007324219
87,3.604085161135747,1.2963921875,70.26000001953125,90.10800004638672
88,3.6982458187983585,1.31509359375,70.65200012207032,90.00999999511718
