epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.9231211457933695,6.9000925,0.14,0.656
1,6.5896870749337335,5.59202625,5.67000000793457,16.233999963378906
2,6.200873000281198,4.96695625,10.284000024414063,26.14600000366211
3,5.9903262342725485,4.176045625,19.316000020751954,41.59399997802734
4,5.616060325077602,3.625625,25.729999975585937,50.483999912109375
5,5.411969832011631,3.523578125,30.314000012207032,55.52399991699219
6,5.337911810193743,2.960146875,38.838000004882815,65.80600003417969
7,4.8973580087934225,2.8528675,41.84400002685547,68.14999998291016
8,4.894778626305716,2.572051875,46.66400005126953,73.0160000366211
9,4.767826693398612,2.3858225,49.22999998046875,75.0920001196289
10,4.6403932230813165,2.3997059375,50.51600015136719,76.28399997558594
11,4.595818758010864,2.234315625,53.66199994873047,79.01000005371094
12,4.446371929986136,2.216971875,54.60600010742188,79.45600004394531
13,4.399648155484881,2.1327,56.56400005859375,80.77600012451173
14,4.315215315137591,2.0002209375,58.42999997070312,82.23400014160157
15,4.47253452028547,2.025788125,59.357999968261716,83.09800000732422
16,4.1285838059016635,1.90316625,60.833999970703125,83.9239999609375
17,4.2566098145076205,1.837896875,61.68400006591797,84.42200013183594
18,4.103020293372018,1.799620625,62.05600006347656,85.03000013671875
19,3.98866559777941,1.81573375,62.352000100097655,85.00199985351563
20,4.161161729267666,1.881566875,62.855999982910156,85.5580000024414
21,4.132482375417437,1.843578125,63.011999953613284,85.57000000488281
22,4.125337634767805,1.8025725,63.28000000976562,85.82600005615234
23,4.088304127965655,1.81995625,64.86400005615235,86.59200002929687
24,4.065963166100638,1.6652759375,65.08200005859375,87.054
25,3.873373201915196,1.6850271875,65.27400003662109,87.01800002685547
26,3.8787415538515364,1.7708365625,65.55999997558594,87.21399999755859
27,3.9981212615966797,1.736781875,65.22200012695312,87.01799986816407
28,3.836294514792306,1.6922003125,65.85800005859375,87.488000078125
29,4.061686413628714,1.6363115625,66.62999997314454,87.78800005126953
30,3.890921030725752,1.613498125,66.99000002441406,88.09000002441407
31,3.951989616666521,1.6801,66.80800002685547,87.916000078125
32,3.810192448752267,1.63921,66.69400004882813,88.02399994140625
33,4.040381022862026,1.606725625,67.35000010742188,88.22600002441406
34,3.907107046672276,1.5858215625,67.76400005126953,88.9300000756836
35,3.9645079374313354,1.5884875,67.56400008544922,88.39800010253906
36,3.8820101022720337,1.5975853125,67.966,88.64199989746093
37,3.95492490700313,1.5454534375,68.28399997314453,88.97000012695312
38,3.898377742086138,1.5620946875,68.43199999511718,88.70000009765624
39,3.731893982206072,1.482040625,68.33799994384766,89.0159999194336
40,3.8361146450042725,1.632514375,67.91400008056641,88.63600005126953
41,3.8189858368464877,1.57212125,68.60000004882812,89.08400002197266
42,3.807703767504011,1.5820103125,68.60600007324219,88.92999989257812
43,3.724930797304426,1.556418125,68.20199989746094,88.89000004882813
44,3.8358488253184726,1.537988125,69.04200000244141,89.28000002441406
45,3.7286225727626254,1.536098125,69.41799994384766,89.70399991699219
46,3.8171051910945346,1.5193515625,69.15200004882813,89.41600010253906
47,3.7381142718451366,1.5711815625,69.49999991943359,89.58199997070312
48,3.8614161355154857,1.452321875,69.20200001464843,89.73600004394531
49,3.659538439341954,1.502656875,69.41800005371094,89.61200007324219
50,3.8603705848966325,1.537148125,69.88600005371094,89.72399994873047
51,3.7548934561865672,1.5060996875,69.81600005126953,90.04000004394531
52,3.6066271236964633,1.46775625,69.98200005371093,90.037999921875
53,3.7347973925726756,1.4485259375,70.14400004882812,90.05599999511719
54,3.86285594531468,1.45748375,69.74400010253906,89.84399999511719
55,3.799797569002424,1.52077,69.91599997070313,89.73200002685547
56,3.8405325412750244,1.517585,70.05400001953124,90.16600004394532
57,3.70250289780753,1.4749890625,70.584,90.05600005126954
58,3.726725799696786,1.3933078125,70.324000078125,90.03599994628907
59,3.6623617240360806,1.4478890625,70.53400009765625,90.37400002197266
60,3.811051607131958,1.5196009375,70.38600004882812,90.42000009521485
61,3.6331816741398404,1.45642328125,70.43600001464844,90.04200004394531
62,3.6126298223223006,1.42253375,71.26399994384765,90.7480000390625
63,3.6688663959503174,1.506285625,70.58000007324219,90.32200004638672
64,3.7396676199776784,1.453646875,70.75800004882812,90.33400009765624
65,3.8421915428979054,1.49303109375,71.12999996582032,90.60000006835938
66,3.6887120519365584,1.46033125,71.23600004394531,90.50600004638672
67,3.707759976387024,1.38788421875,71.56000001708985,90.92800007080078
68,3.646965299333845,1.41778453125,71.10400009765625,90.5740000756836
69,3.6492718969072615,1.539440625,70.20000007568359,89.88599999511719
70,3.7645965133394514,1.4189909375,71.7640001171875,90.86200004394532
71,3.653249144554138,1.406104375,71.58800004394531,90.92599999755859
72,3.6723432540893555,1.3987378125,71.86799994140625,90.92600009765626
73,3.6785381691796437,1.40976546875,71.45199996337891,90.84199999511719
74,3.6761113916124617,1.49002875,71.64600004638672,90.7860001220703
75,3.554674574307033,1.3832753125,71.8839999951172,91.06399996582032
76,3.5803523744855608,1.3808584375,72.07600007324218,91.16000010009766
77,3.622873680932181,1.47898671875,71.83800001220703,90.97799993652343
78,3.7131834541048323,1.340803125,72.08600002197265,91.09800007080078
79,3.547491329056876,1.39401125,72.31599999267578,91.21800004394531
80,3.5375121320996965,1.462404375,71.59200002441406,90.81599988769531
81,3.649949482509068,1.413983125,71.94200007324218,91.07800009765624
82,3.6305905410221646,1.3531071875,72.65799999267578,91.34600001708985
83,3.691735863685608,1.44123703125,72.52799993652344,91.48799996582031
84,3.640671866280692,1.33624875,72.49200015380859,91.4579999169922
85,3.640213302203587,1.39769453125,72.60599994140625,91.47799999023438
86,3.6541262354169572,1.38366875,72.79199999023437,91.44999996582031
87,3.6591026953288486,1.4374784375,72.21599999267578,91.10000006591797
